parameter,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat,run,n_subjects,divergences,metric,chains,warmup_per_chain,draws_per_chain,adapt_delta,max_depth_hits,min_bfmi,passed
mu[1],-1.44458,0.0155585,0.720567,0.717951,-2.59808,-1.46135,-0.238325,2111.02,4001.59,0.538714,1.00061,H2_full_age,111,0,diag_e,4.0,3000.0,8000.0,0.99,0,0.7847495337660773,True
mu[2],-3.94466,0.00233576,0.347145,0.346809,-4.54276,-3.93061,-3.39983,22220.4,22130.2,5.67044,1.00008,H2_full_age,111,0,diag_e,4.0,3000.0,8000.0,0.99,0,0.7847495337660773,True
tau[1],1.33687,0.00387649,0.392545,0.384365,0.748746,1.30545,2.03213,9644.52,16057.0,2.46119,1.00001,H2_full_age,111,0,diag_e,4.0,3000.0,8000.0,0.99,0,0.7847495337660773,True
tau[2],2.41995,0.0020997,0.272582,0.268114,1.99765,2.40472,2.88972,16935.2,22156.1,4.3217,1.00029,H2_full_age,111,0,diag_e,4.0,3000.0,8000.0,0.99,0,0.7847495337660773,True
"beta[1,1]",0.0586575,0.00209537,0.290753,0.28403,-0.41963,0.0600514,0.534626,19315.3,23883.7,4.92908,0.999964,H2_full_age,111,0,diag_e,4.0,3000.0,8000.0,0.99,0,0.7847495337660773,True
"beta[2,1]",-0.248605,0.00199992,0.271505,0.2678,-0.695895,-0.248212,0.196143,18476.7,21756.7,4.71509,1.00023,H2_full_age,111,0,diag_e,4.0,3000.0,8000.0,0.99,0,0.7847495337660773,True
"natural[1,1]",0.300085,0.00282461,0.251428,0.223154,0.0233123,0.221086,0.825309,7028.74,17328.6,1.79367,1.00011,H2_full_age,111,0,diag_e,4.0,3000.0,8000.0,0.99,0,0.7847495337660773,True
"natural[1,2]",0.0332066,0.000286955,0.0562776,0.01369,0.000202261,0.00992223,0.149631,48731.4,25899.7,12.4358,0.999973,H2_full_age,111,0,diag_e,4.0,3000.0,8000.0,0.99,0,0.7847495337660773,True
"natural[2,1]",0.293651,0.00309551,0.245733,0.213581,0.0251264,0.216511,0.813091,5253.04,12520.1,1.34053,1.00013,H2_full_age,111,0,diag_e,4.0,3000.0,8000.0,0.99,0,0.7847495337660773,True
"natural[2,2]",0.0260527,0.000220964,0.0423098,0.0125599,0.00025385,0.00944988,0.111154,48634.7,23716.0,12.4111,0.999929,H2_full_age,111,0,diag_e,4.0,3000.0,8000.0,0.99,0,0.7847495337660773,True
"natural[3,1]",0.302951,0.00330457,0.24855,0.220125,0.0272969,0.227637,0.822481,4970.0,11823.2,1.2683,1.00027,H2_full_age,111,0,diag_e,4.0,3000.0,8000.0,0.99,0,0.7847495337660773,True
"natural[3,2]",0.022318,0.000177199,0.0350186,0.011305,0.000247468,0.00852566,0.0916062,50351.0,23856.3,12.8491,1.00007,H2_full_age,111,0,diag_e,4.0,3000.0,8000.0,0.99,0,0.7847495337660773,True
"natural[4,1]",0.326891,0.00361937,0.270095,0.256995,0.0234856,0.244885,0.873369,4935.81,13494.4,1.25957,1.00014,H2_full_age,111,0,diag_e,4.0,3000.0,8000.0,0.99,0,0.7847495337660773,True
"natural[4,2]",0.00995603,9.02398e-05,0.0165982,0.00494106,0.000112416,0.00378004,0.0409633,51075.4,22966.4,13.034,1.00004,H2_full_age,111,0,diag_e,4.0,3000.0,8000.0,0.99,0,0.7847495337660773,True
"natural[5,1]",0.254318,0.00234355,0.239242,0.176973,0.0171475,0.167808,0.778967,10026.2,20528.9,2.55858,1.00008,H2_full_age,111,0,diag_e,4.0,3000.0,8000.0,0.99,0,0.7847495337660773,True
"natural[5,2]",0.0954396,0.00077516,0.145283,0.0397492,0.000336289,0.0277573,0.410649,29998.7,24545.3,7.6554,0.999993,H2_full_age,111,0,diag_e,4.0,3000.0,8000.0,0.99,0,0.7847495337660773,True
"natural[6,1]",0.309675,0.00337694,0.253158,0.232051,0.0260216,0.232804,0.834727,4896.98,11356.7,1.24966,1.00019,H2_full_age,111,0,diag_e,4.0,3000.0,8000.0,0.99,0,0.7847495337660773,True
"natural[6,2]",0.015126,0.000119243,0.0231553,0.00826484,0.000203065,0.00637376,0.059954,49405.7,23217.6,12.6079,0.999979,H2_full_age,111,0,diag_e,4.0,3000.0,8000.0,0.99,0,0.7847495337660773,True
"natural[7,1]",0.324113,0.00348501,0.261303,0.249239,0.0268078,0.247144,0.855805,4788.93,12056.3,1.22209,1.00026,H2_full_age,111,0,diag_e,4.0,3000.0,8000.0,0.99,0,0.7847495337660773,True
"natural[7,2]",0.0105719,8.4134e-05,0.0160228,0.00578165,0.000162453,0.00451499,0.0415186,49845.0,22493.7,12.72,0.999964,H2_full_age,111,0,diag_e,4.0,3000.0,8000.0,0.99,0,0.7847495337660773,True
"natural[8,1]",0.322943,0.0033307,0.260515,0.248131,0.0254772,0.246733,0.85246,5625.26,13751.7,1.43552,1.00023,H2_full_age,111,0,diag_e,4.0,3000.0,8000.0,0.99,0,0.7847495337660773,True
"natural[8,2]",0.0144424,0.000123183,0.0237219,0.00694114,0.00013334,0.00520153,0.0615671,45831.6,23642.1,11.6958,1.00001,H2_full_age,111,0,diag_e,4.0,3000.0,8000.0,0.99,0,0.7847495337660773,True
"natural[9,1]",0.328474,0.00332647,0.262776,0.25418,0.0258628,0.252815,0.860145,5540.65,13201.0,1.41392,1.00021,H2_full_age,111,0,diag_e,4.0,3000.0,8000.0,0.99,0,0.7847495337660773,True
"natural[9,2]",0.0130814,0.000109522,0.0210204,0.0065685,0.000135168,0.00494151,0.0549464,49616.6,23820.3,12.6617,0.999992,H2_full_age,111,0,diag_e,4.0,3000.0,8000.0,0.99,0,0.7847495337660773,True
"natural[10,1]",0.321053,0.00272765,0.242896,0.249795,0.0285545,0.263261,0.801007,6344.83,10623.0,1.61914,1.00007,H2_full_age,111,0,diag_e,4.0,3000.0,8000.0,0.99,0,0.7847495337660773,True
"natural[10,2]",0.0632518,0.000628284,0.099951,0.0271328,0.000371944,0.0195523,0.281689,26231.7,24462.6,6.6941,0.999999,H2_full_age,111,0,diag_e,4.0,3000.0,8000.0,0.99,0,0.7847495337660773,True
"natural[11,1]",0.0614004,0.000167394,0.0318817,0.0336336,0.0138955,0.0588209,0.117443,33963.8,23666.4,8.66725,0.999971,H2_full_age,111,0,diag_e,4.0,3000.0,8000.0,0.99,0,0.7847495337660773,True
"natural[11,2]",1.9283,0.00221262,0.398981,0.389447,1.32238,1.90011,2.62816,32451.1,27326.5,8.28121,1.00004,H2_full_age,111,0,diag_e,4.0,3000.0,8000.0,0.99,0,0.7847495337660773,True
"natural[12,1]",0.198913,0.00185771,0.210437,0.12478,0.0134466,0.12124,0.69018,14591.2,18390.4,3.72355,1.00007,H2_full_age,111,0,diag_e,4.0,3000.0,8000.0,0.99,0,0.7847495337660773,True
"natural[12,2]",0.17256,0.00147369,0.188297,0.14413,0.000491059,0.100077,0.550635,14359.5,23140.5,3.66442,1.00007,H2_full_age,111,0,diag_e,4.0,3000.0,8000.0,0.99,0,0.7847495337660773,True
"natural[13,1]",0.265998,0.00281133,0.240116,0.173845,0.0238969,0.179753,0.804639,6425.61,15269.3,1.63976,1.00016,H2_full_age,111,0,diag_e,4.0,3000.0,8000.0,0.99,0,0.7847495337660773,True
"natural[13,2]",0.0386718,0.000331014,0.0645227,0.0158445,0.000237194,0.0115048,0.175225,42630.8,24434.3,10.879,1.00006,H2_full_age,111,0,diag_e,4.0,3000.0,8000.0,0.99,0,0.7847495337660773,True
"natural[14,1]",0.165147,0.00113005,0.157405,0.0971232,0.0187946,0.113207,0.501158,24970.5,20101.9,6.37225,0.999992,H2_full_age,111,0,diag_e,4.0,3000.0,8000.0,0.99,0,0.7847495337660773,True
"natural[14,2]",0.305426,0.00165141,0.193456,0.211043,0.00641214,0.302161,0.633272,12516.9,11738.8,3.1942,1.00098,H2_full_age,111,0,diag_e,4.0,3000.0,8000.0,0.99,0,0.7847495337660773,True
"natural[15,1]",0.326462,0.00351952,0.262817,0.24909,0.0265373,0.248741,0.861104,4778.01,11976.7,1.2193,1.0002,H2_full_age,111,0,diag_e,4.0,3000.0,8000.0,0.99,0,0.7847495337660773,True
"natural[15,2]",0.0111653,9.44097e-05,0.0180023,0.00576836,0.000124275,0.00441333,0.0457555,50008.8,23810.9,12.7618,0.999969,H2_full_age,111,0,diag_e,4.0,3000.0,8000.0,0.99,0,0.7847495337660773,True
"natural[16,1]",0.312232,0.00327709,0.25193,0.231722,0.0276522,0.239027,0.833618,5003.77,12131.9,1.27692,1.00019,H2_full_age,111,0,diag_e,4.0,3000.0,8000.0,0.99,0,0.7847495337660773,True
"natural[16,2]",0.0152391,0.000123489,0.0233135,0.00809105,0.000196932,0.00622689,0.0616718,49667.8,21957.2,12.6748,0.999965,H2_full_age,111,0,diag_e,4.0,3000.0,8000.0,0.99,0,0.7847495337660773,True
"natural[17,1]",0.296843,0.0027373,0.245502,0.217084,0.0255298,0.221284,0.810153,6994.52,15191.3,1.78494,1.00011,H2_full_age,111,0,diag_e,4.0,3000.0,8000.0,0.99,0,0.7847495337660773,True
"natural[17,2]",0.0418924,0.000311679,0.0627791,0.0204855,0.00026226,0.0147622,0.175713,38658.6,23720.3,9.86532,0.999979,H2_full_age,111,0,diag_e,4.0,3000.0,8000.0,0.99,0,0.7847495337660773,True
"natural[18,1]",0.322337,0.00367415,0.26069,0.248914,0.0256145,0.247552,0.851013,4396.49,11866.9,1.12194,1.00032,H2_full_age,111,0,diag_e,4.0,3000.0,8000.0,0.99,0,0.7847495337660773,True
"natural[18,2]",0.0110788,8.12809e-05,0.0158565,0.00638085,0.00018889,0.00504097,0.0428547,47258.8,21185.2,12.06,1.00003,H2_full_age,111,0,diag_e,4.0,3000.0,8000.0,0.99,0,0.7847495337660773,True
